"DoctorID","Complaint Type","Qty"
"EHAHI","Correct",10
"EHDGF","Correct",2
"EHDGF","Unknown",3
"EHDIJ","Correct",8
"EHDIJ","Incorrect",2
"EHDIJ","Unknown",3
"EHDIC","Incorrect",3
"EHDIH","Correct",1
"EHEGI","Correct",1
"EHEGI","Unknown",1
"EHFDE","Correct",1
"EHHJI","Correct",1
"EHHGF","Correct",1
"EIJHF","Correct",2
"EIJHF","Unknown",1
"EIAAF","Correct",3
"EIAAF","Incorrect",1
"EIAAF","Unknown",1
"EIDDH","Correct",2
"EIDHJ","Incorrect",1
"EIFAD","Correct",1
"EIFAD","Incorrect",2
"EIFAD","Unknown",4
"EIFDB","Correct",1
"EIFEJ","Correct",2
"EIFEJ","Unknown",1
"EIFHE","Correct",2
"EIGAE","Correct",1
"EIIBH","Correct",2
"FJJGG","Correct",1
"FJAJH","Correct",1
"FJAJH","Unknown",1
"FJBGJ","Incorrect",1
"FJCDB","Incorrect",1
"FJFDC","Correct",2
"FJFEG","Unknown",1
"FJGEJ","Correct",1
"FJGEH","Correct",1
"FJGEH","Incorrect",1
"FJGEH","Unknown",1
"FJIDJ","Unknown",1
"FAJFE","Correct",7
"FAJFE","Incorrect",3
"FAJFE","Unknown",2
"FAJGC","Incorrect",1
"FAJGC","Unknown",1
"FAJID","Correct",4
"FABEA","Correct",1
"FABEA","Unknown",1
"FADIG","Incorrect",1
"FAEJE","Correct",3
"FAEJE","Incorrect",4
"FAEJE","Unknown",8
"FAEAH","Correct",3
"FAEAH","Unknown",1
"FAEFA","Correct",2
"FAEFA","Unknown",1
"FAGBJ","Correct",1
"FAGBJ","Incorrect",4
"FAGBJ","Unknown",1
"FAGEB","Incorrect",1
"FAGED","Correct",13
"FAGED","Incorrect",1
"FAGED","Unknown",1
"FAGIE","Correct",2
"FAGIE","Incorrect",2
"FAHDI","Correct",1
"FAHDI","Incorrect",1
"FAICB","Correct",4
"FAICB","Incorrect",2
"FBJDE","Correct",1
"FBJGF","Incorrect",1
"FBJGF","Unknown",2
"FBJIB","Correct",3
"FBJIB","Incorrect",2
"FBJIB","Unknown",1
"FBDCE","Correct",1
"FBDCE","Unknown",1
"FBEDJ","Correct",1
"FBEDJ","Incorrect",1
"FBEDJ","Unknown",1
"FBEEH","Incorrect",1
"FBFHB","Correct",1
"FBFHB","Incorrect",1
"FBHJG","Correct",2
"FBHJG",null,1
"FBHJG","Incorrect",2
"FBHAC","Correct",1
"FBHHI","Correct",8
"FBHHI","Incorrect",3
"FBHHI","Unknown",1
"FBIII","Correct",2
"FCJJB","Unknown",1
"FCJBJ","Correct",1
"FCJBJ","Incorrect",1
"FCJGE","Correct",2
"FCJGE","Incorrect",1
"FCJGE","Unknown",1
"FCBBH","Correct",1
"FCBDC","Unknown",1
"FCBGI","Correct",3
"FCBGI","Incorrect",1
"FCBGI","Unknown",1
"FCBIG","Correct",1
"FCBIG","Unknown",1
"FCDBG","Unknown",1
"FCDCH","Correct",1
"FCEBG","Correct",1
"FCEBG","Incorrect",1
"FCEBG","Unknown",1
"FCECC","Correct",2
"FCECC","Unknown",1
"FCEDH","Correct",4
"FCEDH","Incorrect",1
"FCHHA","Unknown",1
"FCIJH","Correct",6
"FCIJH","Unknown",2
"FCIGD","Correct",1
"FCIGF","Correct",1
"FCIGF","Incorrect",1
"FDAEE","Correct",3
"FDAEE","Incorrect",1
"FDAEE","Unknown",3
"FDAFD","Incorrect",1
"FDBCJ","Unknown",1
"FDDIH","Correct",4
"FDDIH","Incorrect",4
"FDFAC","Correct",1
"FDFAC","Incorrect",1
"FDFGH","Correct",1
"FDGAF","Correct",1
"FDGFG","Correct",2
"FDGGA","Correct",3
"FDHAJ","Correct",3
"FDHDI","Incorrect",1
"FDHGC","Correct",4
"FDHGC","Incorrect",4
"FDHGC","Unknown",1
"FFCIE","Correct",5
"FFCIE","Incorrect",1
"FFCIE","Unknown",1
"GDAJE","Incorrect",1
"GDADF","Correct",3
"GDADF","Incorrect",3
"GDAFH","Unknown",1
"GDEAD","Correct",3
"GDFHE","Unknown",1
"GDGHI","Correct",3
"GDGHI","Incorrect",4
"GDGIF","Correct",1
"GDGIF","Incorrect",1
"GDHIJ","Correct",9
"GDHIJ","Incorrect",4
"GDHIJ","Unknown",1
"GGBFC","Correct",3
"GGCCD","Incorrect",1
"GGGAA","Specific",1
"GGGAA","Incorrect",1
"GHAEF","Correct",3
"GHDFB","Unknown",1
"GIHBE","Unknown",1
"HJBCD","Incorrect",1
"HJDFA","Correct",1
"HABDJ","Incorrect",1
"HABDJ","Unknown",1
"HAGDC","Correct",1
"HAIAH","Correct",1
"HAIAH","Incorrect",1
"HBAHA","Correct",4
"HBCEA","Correct",1
"HBCEA","Incorrect",2
"HBDID","Correct",1
"HBDID","Unknown",1
"HBEHJ","Correct",1
"HBEHJ","Incorrect",1
"HBFAF","Correct",2
"HBIEA","Correct",2
"HBIEA","Unknown",1
"HBIFB","Correct",2
"HCJHF","Correct",3
"HCAJH","Correct",1
"HCBFF","Correct",4
"HCBFF","Incorrect",3
"HCEAA","Incorrect",1
"HCIGF","Correct",2
"HCIGF","Incorrect",1
"HCIGF","Unknown",1
"HEAIA","Correct",3
"HEFBI","Correct",2
"HEFBI","Incorrect",1
"HEFBI","Unknown",1
"HHBHI","Correct",4
"HHBHI","Incorrect",1
"HHBHI","Unknown",1
"HIEFA","Correct",1
"IAEBD","Correct",3
"IAEBD","Incorrect",1
"IDAGA","Correct",2
"IDGCI","Unknown",1
"IEJIA","Correct",3
"IEJIA","Incorrect",1
"IEJIA","Unknown",1
"IEHGF","Correct",2
"IFBHI","Incorrect",1
"IFBHI","Unknown",1
"IFDIB","Correct",1
"IGEIJ","Unknown",1
"AJDBGC","Correct",2
"AJFADH","Correct",1
"AJFADH","Incorrect",1
"AJGICE","Correct",5
"AJGICE","Incorrect",2
"AJGICE","Unknown",2
"AJHCDH","Incorrect",1
"AJHIEE","Incorrect",1
"AAJJHH","Correct",1
"AAAEAH","Correct",1
"AAAHCE","Correct",1
"AAAHCE","Incorrect",2
"AAAHCE","Unknown",1
"AABDHC","Incorrect",1
"AABGAB","Correct",3
"AABGAB","Unknown",1
"AACJEJ","Correct",1
"AACJEJ","Incorrect",2
"AACCGA","Incorrect",1
"AACCGI","Unknown",1
"AACEIE","Unknown",1
"AADDIG","Incorrect",1
"AAEIEG","Correct",15
"AAEIEG","Incorrect",1
"AAEIEG","R&R",1
"AAEIEG","Unknown",3
"AAFJJB","Correct",4
"AAFJJB","Incorrect",1
"AAFJBH","Correct",1
"AAFJBH","Unknown",1
"AAGHII","Correct",1
"AAHGBF","Incorrect",1
"AAIGDH","Correct",5
"ABJJGH","Correct",2
"ABJEAI","Correct",5
"ABJEAI","Unknown",1
"ABJHED","Correct",2
"ABJHED","Unknown",1
"ABAIEG","Correct",1
"ABBFAC","Correct",1
"ABEAFF","Correct",1
"ABFFCJ","Correct",1
"ABFFCJ","Incorrect",1
"ABGBGC","Incorrect",1
"ABGBGC","Unknown",1
"ABHGCJ","Correct",3
"ABHGCJ","Incorrect",1
"ABHGCJ","Unknown",2
"ABHIAF","Correct",1
"ABHIAF","Unknown",1
"ABHIFI","Correct",1
"ACJDBA","Correct",1
"ACJDBA","Incorrect",2
"ACBBCA","Correct",1
"ACBCHA","Correct",3
"ACBCHA","Incorrect",2
"ACBCHA","Unknown",1
"ACBGIB","Unknown",1
"ACBIDH","Incorrect",1
"ACDBJE","Correct",1
"ACDFJH","Correct",7
"ACDFJH","Unknown",3
"ACHGHE","Correct",1
"ACHGHE","Incorrect",1
"ACHGHE","Unknown",1
"ACIHGD","Incorrect",1
"ADJHAB","Correct",1
"ADJHAB","Unknown",1
"ADBDII","Incorrect",1
"ADBHIC","Correct",1
"ADCJFA","Correct",2
"ADDJGE","Incorrect",1
"ADDEBB","Unknown",1
"ADDEGG","Correct",2
"ADDEGG","Incorrect",1
"ADDGJC","Correct",1
"ADEGFF","Unknown",1
"ADFECC","Specific",2
"ADGAIC","Correct",1
"ADGCJI","Correct",1
"ADGFHG","Correct",1
"ADHBJA","Correct",1
"ADIDCF","Correct",1
"AECDDD","Unknown",1
"AECGFE","Correct",1
"AECGFE","Unknown",1
"AECIDA","Correct",2
"AECIDA","Incorrect",3
"AEFEAG","Correct",8
"AEFEAG","Incorrect",2
"AEGJGG","Correct",2
"AEGAJH","Correct",3
"AEGCCG","Specific",1
"AEGFAA","Incorrect",1
"AEHEHD","Incorrect",1
"AEHEHD","Unknown",1
"AFJHFB","Correct",3
"AFCADC","Correct",1
"AFCADC","Incorrect",1
"AFCFGJ","Correct",1
"AFCFGJ","Incorrect",1
"AFCGAH","Incorrect",1
"AFDBGB","Correct",2
"AFGGDB","Correct",2
"AFGGDB","Incorrect",1
"AFGGDB","Unknown",1
"AGABCH","Correct",1
"AGABDF","Correct",1
"AGACJD","Unknown",1
"AGADGD","Correct",2
"AGCHEE","Correct",2
"AGEFBG","Correct",1
"AGEIBA","Incorrect",1
"AGEIBA","Unknown",1
"AGFEFG","Correct",1
"AGIJAC","Correct",1
"AGIJAC","Incorrect",1
"AGIGAF","Correct",2
"AHJDEI","Correct",1
"AHJDEI","Unknown",1
"AHJEHG","Correct",1
"AHAHIB","Unknown",1
"AHBEII","Correct",1
"AHDDAI","Unknown",1
"AHDHCH","Incorrect",1
"AHEFIJ","Unknown",1
"AHFFDD","Correct",2
"AHIEIG","Correct",1
"AIABDJ","Correct",1
"AIABDJ","Unknown",1
"AIBAHD","Correct",1
"AIBDIG","Incorrect",1
"AICDGI","Correct",1
"AIDEAJ","Incorrect",1
"AIEJCA","Correct",1
"AIEACB","Incorrect",1
"AIEBFD","Correct",3
"AIEBFD","Specific",1
"AIEBFD","Incorrect",4
"AIEBFD","Unknown",4
"AIFAEE","Correct",7
"AIFAEE","Incorrect",2
"AIFAEE","Unknown",4
"AIFDEE","Incorrect",1
"AIFDEE","Unknown",1
"AIFDIA","Specific",1
"AIFEBB","Incorrect",1
"AIFHDB","Correct",1
"AIFHDB",null,1
"AIFHDB","Unknown",2
"AIGIAD","Correct",1
"AIHCJI","Correct",6
"AIHCJI","Incorrect",1
"AIHCJI","Unknown",1
"BJBAFG","Correct",1
"BJBFJC","Correct",1
"BJBFDB","Correct",1
"BJBFDB","Incorrect",1
"BJBIIH","Correct",1
"BJDEGI","Correct",2
"BJDEGI","Incorrect",3
"BJDEGI","Unknown",3
"BJDFFJ","Incorrect",1
"BJEACG","Correct",1
"BJIHHD","Correct",1
"BAACDF","Unknown",1
"BAACGG","Incorrect",1
"BABEFH","Correct",4
"BABEFH","Incorrect",4
"BABEFH","Unknown",6
"BABGJG","Correct",8
"BABGJG","Incorrect",1
"BABGJG","Unknown",1
"BABHAJ","Correct",1
"BADDDJ","Correct",2
"BADDDJ","Incorrect",2
"BAEEJA","Correct",1
"BAEEJA","Incorrect",1
"BAFAAH","Correct",1
"BAFEFF","Correct",1
"BAFEFF","Incorrect",3
"BAFIJB","Correct",2
"BAFIJB","Unknown",1
"BAHHBG","Correct",3
"BBAJCF","Incorrect",1
"BBABJA","Correct",3
"BBABJA","Incorrect",1
"BBABJA","Unknown",1
"BBABJD","Correct",1
"BBBDGH","Correct",1
"BBBGBH","Incorrect",1
"BBCHEH","Correct",1
"BBCHEH","Specific",2
"BBHCBF","Unknown",1
"BCJGJJ","Correct",1
"BCCFGC","Correct",1
"BCDGAI","Correct",1
"BCFJAB","Correct",1
"BCFJAB","Unknown",2
"BCFGAB","Correct",2
"BCFGAB","Unknown",2
"BCFGEA","Unknown",1
"BCGBHC","Correct",2
"BCGFDD","Correct",1
"BCGHBG","Correct",1
"BCHBBG","Correct",1
"BDDCCB","Correct",1
"BDFCGI","Correct",2
"BDGBIC","Correct",1
"BDGBIC","Incorrect",1
"BDGCCB","Incorrect",1
"BDGHAH","Incorrect",1
"BEAIJI","Incorrect",1
"BEBBHJ","Correct",1
"BEEGED","Unknown",2
"BEFIIH","Unknown",1
"BFAHHA","Correct",1
"BFIGHB","Unknown",1
"BGJCFE","Correct",3
"BGJCFE","Unknown",1
"BGAAAH","Correct",7
"BGAAAH","Unknown",1
"BHGIFC","Correct",2
"BHGIFC","Incorrect",1
"BHHDDF","Correct",1
"CJAFAB","Incorrect",1
"CAAHID","Correct",2
"CAECFG","Correct",2